"id","active","taxes_id/id","supplier_taxes_id/id","name","standard_price","list_price","default_code","description","attribute_line_ids/id","seller_qty","categ_id/id","company_id/id","create_date","create_uid/id","property_account_expense/id","property_account_income/id","ean13","description_purchase","description_sale","state","message_last_post","warranty","image","image_medium","image_small","message_ids/id","weight","weight_net","seller_delay","lst_price","product_variant_ids/id","seller_ids/id","seller_id/id","rental","sale_ok","product_manager/id","message_follower_ids/id","pricelist_id/id","mes_type","type","uom_id/id","uos_coeff","uom_po_id/id","uos_id/id","packaging_ids/id","volume","color","write_uid/id","write_date"
"__export__.product_template_21","True","__export__.account_tax_1","__export__.account_tax_2","AMD Ryzen 5 3600 3.6Ghz BOX","","210.99","0009","Procesadores","","","product.product_category_all","base.main_company","2019-11-03 11:42:25","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_31","","","","210.99","__export__.product_product_11","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:42:25"
"__export__.product_template_30","True","__export__.account_tax_1","__export__.account_tax_2","Asus Dual Radeon RX 580 OC Edition 4GB GDDR5","","239.9","0017","Tarjetas Gráficas","","","product.product_category_all","base.main_company","2019-11-03 12:08:50","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_49","","","","239.9","__export__.product_product_20","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:10:07"
"__export__.product_template_31","True","__export__.account_tax_1","__export__.account_tax_2","Asus Dual Radeon RX 580 OC Edition 4GB GDDR5","","209.9","0018","Tarjetas Gráficas","","","product.product_category_all","base.main_company","2019-11-03 12:09:45","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_51","","","","209.9","__export__.product_product_21","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:09:45"
"__export__.product_template_16","True","__export__.account_tax_1","__export__.account_tax_2","Asus PRIME B450M-A","","78.99","0004","Placas base","","","product.product_category_all","base.main_company","2019-11-03 11:27:47","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_21","","","","78.99","__export__.product_product_6","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 11:28:40"
"__export__.product_template_59","True","__export__.account_tax_1","__export__.account_tax_2","BenQ GL2580H 24.5"" LED FHD","","115.0","0046","Monitores","","","product.product_category_all","base.main_company","2019-11-03 13:00:13","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_107","","","","115.0","__export__.product_product_49","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 13:00:13"
"__export__.product_template_62","True","__export__.account_tax_1","__export__.account_tax_2","BenQ GW2480E 23.8"" LED IPS FullHD","","118.1","0049","Monitores","","","product.product_category_all","base.main_company","2019-11-03 13:02:47","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_113","","","","118.1","__export__.product_product_52","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 13:02:47"
"__export__.product_template_60","True","__export__.account_tax_1","__export__.account_tax_2","BenQ ZOWIE XL2411P 24"" LED 144Hz e-Sports","","199.0","0047","Monitores","","","product.product_category_all","base.main_company","2019-11-03 13:00:45","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_109","","","","199.0","__export__.product_product_50","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 13:00:45"
"__export__.product_template_52","True","__export__.account_tax_1","__export__.account_tax_2","Cooler Master Hyper 212 Black Edition","","34.99","0039","Ventilación","","","product.product_category_all","base.main_company","2019-11-03 12:37:00","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_93","","","","34.99","__export__.product_product_42","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:37:00"
"__export__.product_template_50","True","__export__.account_tax_1","__export__.account_tax_2","Cooler Master MasterLiquid ML240L RGB","","59.99","0037","Ventilación","","","product.product_category_all","base.main_company","2019-11-03 12:35:53","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_89","","","","59.99","__export__.product_product_40","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:35:53"
"__export__.product_template_53","True","__export__.account_tax_1","__export__.account_tax_2","Corsair Hydro H100x Kit de Refrigeración Líquida","","89.99","0040","Ventilación","","","product.product_category_all","base.main_company","2019-11-03 12:38:04","__export__.res_users_7","","","","","","","","","","","","__export__.mail_message_95","","","","89.99","__export__.product_product_43","","","False","True","","__export__.res_partner_8","","fixed","Consumible","product.product_uom_unit","1.0","product.product_uom_unit","","","","","__export__.res_users_7","2019-11-03 12:38:04"
